Scale,Docs,Chunks,DB,Recall@10,MRR@10,nDCG@10,Search Avg ms,p50,p95,p99,Wall-clock QPS,Index Total sec,Index vectors/sec,Peak Container RAM,Disk MB
1K,1000,1085,Qdrant,1.0,0.9889,0.9917,2.5318,2.5066,3.1552,3.9646,395.53,14.4515,75.08,325.6,9.0
1K,1000,1085,Milvus,1.0,0.9889,0.9917,2.5031,2.4302,3.0153,4.9847,400.41,20.8851,51.95,584.7,977.0
1K,1000,1085,Elasticsearch,1.0,0.9889,0.9917,4.9089,4.647,6.5,7.6597,203.89,14.7349,73.63,1530.88,619.0
1K,1000,1085,Weaviate,1.0,0.9889,0.9917,2.9257,2.2081,5.2215,7.5129,349.71,14.4903,74.88,1014.0,8.0
10K,10000,10743,Qdrant,0.998,0.971,0.9772,3.0959,3.0556,3.8218,4.4113,323.62,40.3075,266.53,395.6,49.0
10K,10000,10743,Milvus,0.968,0.9427,0.9487,1.6811,1.5664,2.3936,3.5851,605.29,43.6703,246.0,695.9,977.0
10K,10000,10743,Elasticsearch,0.998,0.971,0.9772,5.4531,5.2998,7.0628,7.8304,183.55,44.1398,243.39,1587.2,774.0
10K,10000,10743,Weaviate,0.994,0.968,0.9739,4.0952,3.6403,5.877,7.132,247.64,40.1968,267.26,1119.23,79.0
20K,20000,21646,Qdrant,0.99,0.9474,0.9563,3.3188,3.196,4.3147,5.5578,301.68,72.6856,297.8,439.4,95.0
20K,20000,21646,Milvus,0.961,0.9196,0.9282,2.368,1.6652,3.8923,7.0263,470.35,75.0569,288.39,908.3,1038.0
20K,20000,21646,Elasticsearch,0.99,0.9474,0.9563,6.22,5.8065,8.2929,13.5979,161.71,78.891,274.38,1618.94,948.0
20K,20000,21646,Weaviate,0.986,0.945,0.9536,3.6717,3.0478,5.8306,8.3645,273.17,75.3383,287.32,1234.94,150.0
50K,50000,54410,Qdrant,0.976,0.9139,0.9272,4.3998,4.3203,5.3656,7.2651,227.5,162.6637,334.49,474.6,169.0
50K,50000,54410,Milvus,0.949,0.8893,0.9018,6.1554,5.109,12.2611,24.499,199.74,157.9904,344.39,1641.47,1099.0
50K,50000,54410,Elasticsearch,0.972,0.9099,0.9232,6.6791,6.302,9.0063,17.3649,152.39,181.538,299.72,1650.69,1472.0
50K,50000,54410,Weaviate,0.97,0.9089,0.9219,4.4284,4.2505,6.4092,9.8049,226.24,167.3454,325.14,1388.54,374.0
100K,100000,108903,Qdrant,0.9627,0.878,0.8963,9.412,8.8046,17.0562,23.2594,106.24,303.1412,359.25,616.4,274.0
100K,100000,108903,Milvus,0.9613,0.8773,0.8954,3.4901,2.9685,6.6034,10.6615,293.02,293.2866,371.32,1691.65,1312.0
100K,100000,108903,Elasticsearch,0.9653,0.8806,0.899,8.5686,7.7742,10.6818,16.7373,121.85,371.2885,293.31,2003.97,1751.0
100K,100000,108903,Weaviate,0.9553,0.8726,0.8905,4.9709,3.9466,5.8639,8.3039,210.14,302.3554,360.18,1911.81,666.0
200K,200000,221582,Qdrant,0.9423,0.8191,0.8458,11.432,9.8141,21.3803,33.6502,94.39,685.2482,323.36,887.3,496.0
200K,200000,221582,Milvus,0.9443,0.8245,0.8503,6.4996,5.675,11.5587,18.349,158.24,651.9183,339.89,2402.3,1597.0
200K,200000,221582,Elasticsearch,0.9463,0.8231,0.8498,7.6827,7.3795,10.1222,16.9845,132.92,846.9483,261.62,1748.99,2555.0
200K,200000,221582,Weaviate,0.9353,0.8141,0.8409,5.1565,4.5454,6.5154,9.4761,197.15,677.2145,327.2,3074.05,1276.0
