Scale,DB,Metric,Mean,CI_low_95,CI_high_95,n_queries
1K,Qdrant,Recall@10,1.0,1.0,1.0,500
1K,Qdrant,MRR@10,0.9889,0.9814,0.9952,500
1K,Qdrant,nDCG@10,0.9917,0.986,0.9964,500
1K,Milvus,Recall@10,1.0,1.0,1.0,500
1K,Milvus,MRR@10,0.9889,0.9814,0.9952,500
1K,Milvus,nDCG@10,0.9917,0.986,0.9964,500
1K,Elasticsearch,Recall@10,1.0,1.0,1.0,500
1K,Elasticsearch,MRR@10,0.9889,0.9814,0.9952,500
1K,Elasticsearch,nDCG@10,0.9917,0.986,0.9964,500
1K,Weaviate,Recall@10,1.0,1.0,1.0,500
1K,Weaviate,MRR@10,0.9889,0.9814,0.9952,500
1K,Weaviate,nDCG@10,0.9917,0.986,0.9964,500
10K,Qdrant,Recall@10,0.998,0.994,1.0,500
10K,Qdrant,MRR@10,0.971,0.9587,0.9825,500
10K,Qdrant,nDCG@10,0.9772,0.9676,0.9862,500
10K,Milvus,Recall@10,0.968,0.952,0.982,500
10K,Milvus,MRR@10,0.9427,0.9238,0.9606,500
10K,Milvus,nDCG@10,0.9487,0.931,0.9651,500
10K,Elasticsearch,Recall@10,0.998,0.994,1.0,500
10K,Elasticsearch,MRR@10,0.971,0.9587,0.9825,500
10K,Elasticsearch,nDCG@10,0.9772,0.9676,0.9862,500
10K,Weaviate,Recall@10,0.994,0.986,1.0,500
10K,Weaviate,MRR@10,0.968,0.9546,0.9804,500
10K,Weaviate,nDCG@10,0.9739,0.9628,0.9841,500
20K,Qdrant,Recall@10,0.99,0.98,0.998,500
20K,Qdrant,MRR@10,0.9474,0.9305,0.9633,500
20K,Qdrant,nDCG@10,0.9563,0.9423,0.9695,500
20K,Milvus,Recall@10,0.961,0.943,0.977,500
20K,Milvus,MRR@10,0.9196,0.8974,0.9403,500
20K,Milvus,nDCG@10,0.9282,0.9079,0.9469,500
20K,Elasticsearch,Recall@10,0.99,0.98,0.998,500
20K,Elasticsearch,MRR@10,0.9474,0.9305,0.9633,500
20K,Elasticsearch,nDCG@10,0.9563,0.9423,0.9695,500
20K,Weaviate,Recall@10,0.986,0.974,0.996,500
20K,Weaviate,MRR@10,0.945,0.9274,0.9614,500
20K,Weaviate,nDCG@10,0.9536,0.9386,0.9674,500
50K,Qdrant,Recall@10,0.976,0.962,0.988,500
50K,Qdrant,MRR@10,0.9139,0.8924,0.9342,500
50K,Qdrant,nDCG@10,0.9272,0.9085,0.9446,500
50K,Milvus,Recall@10,0.949,0.929,0.967,500
50K,Milvus,MRR@10,0.8893,0.8639,0.9128,500
50K,Milvus,nDCG@10,0.9018,0.8786,0.9233,500
50K,Elasticsearch,Recall@10,0.972,0.956,0.986,500
50K,Elasticsearch,MRR@10,0.9099,0.8878,0.9306,500
50K,Elasticsearch,nDCG@10,0.9232,0.9038,0.9411,500
50K,Weaviate,Recall@10,0.97,0.954,0.984,500
50K,Weaviate,MRR@10,0.9089,0.8864,0.93,500
50K,Weaviate,nDCG@10,0.9219,0.9022,0.9403,500
100K,Qdrant,Recall@10,0.9633,0.9467,0.9783,500
100K,Qdrant,MRR@10,0.8786,0.8539,0.9026,500
100K,Qdrant,nDCG@10,0.897,0.8754,0.9175,500
100K,Milvus,Recall@10,0.9613,0.9443,0.977,500
100K,Milvus,MRR@10,0.8773,0.8521,0.9016,500
100K,Milvus,nDCG@10,0.8954,0.8734,0.9162,500
100K,Elasticsearch,Recall@10,0.9653,0.949,0.98,500
100K,Elasticsearch,MRR@10,0.8806,0.8557,0.9045,500
100K,Elasticsearch,nDCG@10,0.899,0.8776,0.9193,500
100K,Weaviate,Recall@10,0.9553,0.937,0.972,500
100K,Weaviate,MRR@10,0.8726,0.847,0.8976,500
100K,Weaviate,nDCG@10,0.8905,0.8676,0.9121,500
200K,Qdrant,Recall@10,0.9423,0.922,0.9617,500
200K,Qdrant,MRR@10,0.8191,0.79,0.8478,500
200K,Qdrant,nDCG@10,0.8458,0.8204,0.8704,500
200K,Milvus,Recall@10,0.9443,0.9237,0.963,500
200K,Milvus,MRR@10,0.8255,0.7966,0.8536,500
200K,Milvus,nDCG@10,0.851,0.8258,0.8751,500
200K,Elasticsearch,Recall@10,0.9463,0.9263,0.965,500
200K,Elasticsearch,MRR@10,0.8231,0.7943,0.8514,500
200K,Elasticsearch,nDCG@10,0.8498,0.8245,0.8739,500
200K,Weaviate,Recall@10,0.9353,0.914,0.956,500
200K,Weaviate,MRR@10,0.8141,0.7846,0.8432,500
200K,Weaviate,nDCG@10,0.8409,0.8148,0.8663,500
