Scale,Metric,DB_A,DB_B,mean_delta_A_minus_B,CI_low_95,CI_high_95,num_paired_queries
10K,Recall@10,Qdrant,Milvus,0.03,0.016,0.046,500
10K,MRR@10,Qdrant,Milvus,0.0283,0.0144,0.0439,500
10K,nDCG@10,Qdrant,Milvus,0.0285,0.0147,0.0441,500
10K,Recall@10,Milvus,Elasticsearch,-0.03,-0.046,-0.016,500
10K,MRR@10,Milvus,Elasticsearch,-0.0283,-0.0439,-0.0144,500
10K,nDCG@10,Milvus,Elasticsearch,-0.0285,-0.0441,-0.0147,500
10K,Recall@10,Milvus,Weaviate,-0.026,-0.042,-0.01,500
10K,MRR@10,Milvus,Weaviate,-0.0253,-0.0412,-0.0108,500
10K,nDCG@10,Milvus,Weaviate,-0.0252,-0.0412,-0.0107,500
20K,Recall@10,Qdrant,Milvus,0.029,0.015,0.044,500
20K,MRR@10,Qdrant,Milvus,0.0278,0.0139,0.0437,500
20K,nDCG@10,Qdrant,Milvus,0.0282,0.0147,0.0435,500
20K,Recall@10,Milvus,Elasticsearch,-0.029,-0.044,-0.015,500
20K,MRR@10,Milvus,Elasticsearch,-0.0278,-0.0437,-0.0139,500
20K,nDCG@10,Milvus,Elasticsearch,-0.0282,-0.0435,-0.0147,500
20K,Recall@10,Milvus,Weaviate,-0.025,-0.04,-0.011,500
20K,MRR@10,Milvus,Weaviate,-0.0254,-0.04,-0.012,500
20K,nDCG@10,Milvus,Weaviate,-0.0254,-0.0402,-0.0122,500
50K,Recall@10,Qdrant,Milvus,0.027,0.012,0.043,500
50K,MRR@10,Qdrant,Milvus,0.0246,0.011,0.0397,500
50K,nDCG@10,Qdrant,Milvus,0.0254,0.0119,0.0406,500
50K,Recall@10,Milvus,Elasticsearch,-0.023,-0.039,-0.008,500
50K,MRR@10,Milvus,Elasticsearch,-0.0206,-0.0356,-0.0067,500
50K,nDCG@10,Milvus,Elasticsearch,-0.0214,-0.0363,-0.0077,500
50K,Recall@10,Milvus,Weaviate,-0.021,-0.037,-0.006,500
50K,MRR@10,Milvus,Weaviate,-0.0196,-0.0353,-0.0053,500
50K,nDCG@10,Milvus,Weaviate,-0.0201,-0.0355,-0.0061,500
100K,Recall@10,Qdrant,Weaviate,0.008,0.002,0.016,500
100K,MRR@10,Qdrant,Weaviate,0.006,0.001,0.013,500
100K,nDCG@10,Qdrant,Weaviate,0.0065,0.0013,0.0138,500
100K,Recall@10,Elasticsearch,Weaviate,0.01,0.002,0.02,500
100K,MRR@10,Elasticsearch,Weaviate,0.008,0.002,0.016,500
100K,nDCG@10,Elasticsearch,Weaviate,0.0085,0.002,0.017,500
200K,MRR@10,Qdrant,Milvus,-0.0064,-0.0139,-0.0002,500
200K,Recall@10,Qdrant,Weaviate,0.007,0.001,0.015,500
200K,MRR@10,Qdrant,Weaviate,0.005,0.0002,0.0117,500
200K,nDCG@10,Qdrant,Weaviate,0.0049,0.0006,0.0111,500
200K,MRR@10,Milvus,Weaviate,0.0114,0.0027,0.0215,500
200K,nDCG@10,Milvus,Weaviate,0.0102,0.0015,0.0198,500
200K,Recall@10,Elasticsearch,Weaviate,0.011,0.003,0.021,500
200K,MRR@10,Elasticsearch,Weaviate,0.009,0.002,0.0178,500
200K,nDCG@10,Elasticsearch,Weaviate,0.0089,0.002,0.0174,500
