scale,db,recall@10,recall_ci95,mrr@10,mrr_ci95,ndcg@10,ndcg_ci95
S1,qdrant,1.0,"[1.0000, 1.0000]",0.9888666666666666,"[0.9814, 0.9952]",0.9916730057097791,"[0.9860, 0.9964]"
S1,milvus,1.0,"[1.0000, 1.0000]",0.9888666666666666,"[0.9814, 0.9952]",0.9916730057097791,"[0.9860, 0.9964]"
S1,elasticsearch,1.0,"[1.0000, 1.0000]",0.9888666666666666,"[0.9814, 0.9952]",0.9916730057097791,"[0.9860, 0.9964]"
S1,weaviate,1.0,"[1.0000, 1.0000]",0.9888666666666666,"[0.9814, 0.9952]",0.9916730057097791,"[0.9860, 0.9964]"
S2,qdrant,0.998,"[0.9940, 1.0000]",0.971,"[0.9587, 0.9825]",0.9771757146718585,"[0.9676, 0.9862]"
S2,milvus,0.968,"[0.9520, 0.9820]",0.9427380952380952,"[0.9238, 0.9606]",0.948685040687459,"[0.9310, 0.9651]"
S2,elasticsearch,0.998,"[0.9940, 1.0000]",0.971,"[0.9587, 0.9825]",0.9771757146718585,"[0.9676, 0.9862]"
S2,weaviate,0.994,"[0.9860, 1.0000]",0.968,"[0.9546, 0.9804]",0.9739138551647156,"[0.9628, 0.9841]"
S3,qdrant,0.99,"[0.9800, 0.9980]",0.9473690476190476,"[0.9305, 0.9633]",0.9563363745066815,"[0.9423, 0.9695]"
S3,milvus,0.961,"[0.9430, 0.9770]",0.9196047619047618,"[0.8974, 0.9403]",0.9281523409338909,"[0.9079, 0.9469]"
S3,elasticsearch,0.99,"[0.9800, 0.9980]",0.9473690476190476,"[0.9305, 0.9633]",0.9563363745066815,"[0.9423, 0.9695]"
S3,weaviate,0.986,"[0.9740, 0.9960]",0.9450047619047618,"[0.9274, 0.9614]",0.9535984058053075,"[0.9386, 0.9674]"
S4,qdrant,0.976,"[0.9620, 0.9880]",0.9138793650793651,"[0.8924, 0.9342]",0.9271897246579099,"[0.9085, 0.9446]"
S4,milvus,0.949,"[0.9290, 0.9670]",0.889315873015873,"[0.8639, 0.9128]",0.9018349972908987,"[0.8786, 0.9233]"
S4,elasticsearch,0.972,"[0.9560, 0.9860]",0.9098793650793651,"[0.8878, 0.9306]",0.9231897246579099,"[0.9038, 0.9411]"
S4,weaviate,0.97,"[0.9540, 0.9840]",0.9088793650793651,"[0.8864, 0.9300]",0.921927865150767,"[0.9022, 0.9403]"
S5,qdrant,0.9633333333333334,"[0.9467, 0.9783]",0.8786174603174602,"[0.8539, 0.9026]",0.8969838394022277,"[0.8754, 0.9175]"
S5,milvus,0.9613333333333334,"[0.9443, 0.9770]",0.8772650793650794,"[0.8521, 0.9016]",0.8954482796034492,"[0.8734, 0.9162]"
S5,elasticsearch,0.9653333333333334,"[0.9490, 0.9800]",0.8806174603174602,"[0.8557, 0.9045]",0.8989838394022277,"[0.8776, 0.9193]"
S5,weaviate,0.9553333333333334,"[0.9370, 0.9720]",0.8726174603174602,"[0.8470, 0.8976]",0.8904601203879419,"[0.8676, 0.9121]"
S6,qdrant,0.9423333333333334,"[0.9220, 0.9617]",0.8191015873015873,"[0.7900, 0.8478]",0.8458004077680376,"[0.8204, 0.8704]"
S6,milvus,0.9443333333333334,"[0.9237, 0.9630]",0.8254904761904762,"[0.7966, 0.8536]",0.851017395628933,"[0.8258, 0.8751]"
S6,elasticsearch,0.9463333333333334,"[0.9263, 0.9650]",0.8231015873015873,"[0.7943, 0.8514]",0.8498004077680376,"[0.8245, 0.8739]"
S6,weaviate,0.9353333333333333,"[0.9140, 0.9560]",0.8141015873015873,"[0.7846, 0.8432]",0.8408514071502131,"[0.8148, 0.8663]"
