scale,metric,db_a,db_b,mean_delta,ci_low,ci_high,ci_contains_zero,distinguishable_at_95pct
S1,recall@10,qdrant,milvus,0.0,0.0,0.0,True,False
S1,mrr@10,qdrant,milvus,0.0,0.0,0.0,True,False
S1,ndcg@10,qdrant,milvus,0.0,0.0,0.0,True,False
S1,recall@10,qdrant,elasticsearch,0.0,0.0,0.0,True,False
S1,mrr@10,qdrant,elasticsearch,0.0,0.0,0.0,True,False
S1,ndcg@10,qdrant,elasticsearch,0.0,0.0,0.0,True,False
S1,recall@10,qdrant,weaviate,0.0,0.0,0.0,True,False
S1,mrr@10,qdrant,weaviate,0.0,0.0,0.0,True,False
S1,ndcg@10,qdrant,weaviate,0.0,0.0,0.0,True,False
S1,recall@10,milvus,elasticsearch,0.0,0.0,0.0,True,False
S1,mrr@10,milvus,elasticsearch,0.0,0.0,0.0,True,False
S1,ndcg@10,milvus,elasticsearch,0.0,0.0,0.0,True,False
S1,recall@10,milvus,weaviate,0.0,0.0,0.0,True,False
S1,mrr@10,milvus,weaviate,0.0,0.0,0.0,True,False
S1,ndcg@10,milvus,weaviate,0.0,0.0,0.0,True,False
S1,recall@10,elasticsearch,weaviate,0.0,0.0,0.0,True,False
S1,mrr@10,elasticsearch,weaviate,0.0,0.0,0.0,True,False
S1,ndcg@10,elasticsearch,weaviate,0.0,0.0,0.0,True,False
S2,recall@10,qdrant,milvus,0.03,0.016,0.046,False,True
S2,mrr@10,qdrant,milvus,0.028261904761904762,0.01442857142857143,0.04392857142857143,False,True
S2,ndcg@10,qdrant,milvus,0.02849067398439953,0.014686969319198363,0.04412068612141451,False,True
S2,recall@10,qdrant,elasticsearch,0.0,0.0,0.0,True,False
S2,mrr@10,qdrant,elasticsearch,0.0,0.0,0.0,True,False
S2,ndcg@10,qdrant,elasticsearch,0.0,0.0,0.0,True,False
S2,recall@10,qdrant,weaviate,0.004,0.0,0.01,True,False
S2,mrr@10,qdrant,weaviate,0.003,0.0,0.008,True,False
S2,ndcg@10,qdrant,weaviate,0.003261859507142915,0.0,0.00852371901428583,True,False
S2,recall@10,milvus,elasticsearch,-0.03,-0.046,-0.016,False,True
S2,mrr@10,milvus,elasticsearch,-0.028261904761904762,-0.04392857142857143,-0.01442857142857143,False,True
S2,ndcg@10,milvus,elasticsearch,-0.02849067398439953,-0.04412068612141452,-0.014686969319198363,False,True
S2,recall@10,milvus,weaviate,-0.026,-0.042,-0.01,False,True
S2,mrr@10,milvus,weaviate,-0.025261904761904763,-0.04119047619047619,-0.010797619047619047,False,True
S2,ndcg@10,milvus,weaviate,-0.025228814477256615,-0.04121501617695907,-0.010650684617656902,False,True
S2,recall@10,elasticsearch,weaviate,0.004,0.0,0.01,True,False
S2,mrr@10,elasticsearch,weaviate,0.003,0.0,0.008,True,False
S2,ndcg@10,elasticsearch,weaviate,0.003261859507142915,0.0,0.00852371901428583,True,False
S3,recall@10,qdrant,milvus,0.029,0.015,0.044,False,True
S3,mrr@10,qdrant,milvus,0.027764285714285714,0.013861130952380953,0.04369761904761905,False,True
S3,ndcg@10,qdrant,milvus,0.028184033572790576,0.014705645806357923,0.043486138623629114,False,True
S3,recall@10,qdrant,elasticsearch,0.0,0.0,0.0,True,False
S3,mrr@10,qdrant,elasticsearch,0.0,0.0,0.0,True,False
S3,ndcg@10,qdrant,elasticsearch,0.0,0.0,0.0,True,False
S3,recall@10,qdrant,weaviate,0.004,0.0,0.01,True,False
S3,mrr@10,qdrant,weaviate,0.002364285714285714,-7.14285714285714e-05,0.0068000000000000005,True,False
S3,ndcg@10,qdrant,weaviate,0.0027379687013738743,-7.14738261904182e-05,0.007868528072345416,True,False
S3,recall@10,milvus,elasticsearch,-0.029,-0.044,-0.015,False,True
S3,mrr@10,milvus,elasticsearch,-0.027764285714285714,-0.04369761904761905,-0.013861130952380963,False,True
S3,ndcg@10,milvus,elasticsearch,-0.028184033572790576,-0.043486138623629114,-0.014705645806357944,False,True
S3,recall@10,milvus,weaviate,-0.025,-0.04,-0.011,False,True
S3,mrr@10,milvus,weaviate,-0.0254,-0.04,-0.012,False,True
S3,ndcg@10,milvus,weaviate,-0.025446064871416704,-0.04021786399177281,-0.012238124317949519,False,True
S3,recall@10,elasticsearch,weaviate,0.004,0.0,0.01,True,False
S3,mrr@10,elasticsearch,weaviate,0.002364285714285714,-7.14285714285714e-05,0.0068000000000000005,True,False
S3,ndcg@10,elasticsearch,weaviate,0.0027379687013738743,-7.14738261904182e-05,0.007868528072345416,True,False
S4,recall@10,qdrant,milvus,0.027,0.012,0.043,False,True
S4,mrr@10,qdrant,milvus,0.02456349206349206,0.010952380952380953,0.039730158730158734,False,True
S4,ndcg@10,qdrant,milvus,0.02535472736701112,0.011902828494762705,0.040610868365855986,False,True
S4,recall@10,qdrant,elasticsearch,0.004,0.0,0.01,True,False
S4,mrr@10,qdrant,elasticsearch,0.004,0.0,0.01,True,False
S4,ndcg@10,qdrant,elasticsearch,0.004,0.0,0.01,True,False
S4,recall@10,qdrant,weaviate,0.006,0.0,0.014,True,False
S4,mrr@10,qdrant,weaviate,0.005,0.0,0.012,True,False
S4,ndcg@10,qdrant,weaviate,0.005261859507142915,0.0,0.012,True,False
S4,recall@10,milvus,elasticsearch,-0.023,-0.039,-0.008,False,True
S4,mrr@10,milvus,elasticsearch,-0.020563492063492065,-0.03563571428571428,-0.00673015873015873,False,True
S4,ndcg@10,milvus,elasticsearch,-0.02135472736701112,-0.03633053836362243,-0.007660983893136033,False,True
S4,recall@10,milvus,weaviate,-0.021,-0.037,-0.006,False,True
